BranchName,Week,DayWeek,Day,Month,Hour,Transaction_Type,Units,Amount
MyStore,1,3,2,1,9,Card,3,$54.00
MyStore,1,3,2,1,10,Cash,7,-$17.80
MyStore,1,3,2,1,10,Card,7,$41.99
MyStore,1,3,2,1,11,Card,20,$412.50
MyStore,1,3,2,1,12,Cash,1,-$18.00
MyStore,1,3,2,1,12,Card,1,-$5.00
MyStore,1,3,2,1,12,Card,15,$118.50
MyStore,1,3,2,1,13,Cash,90,-$94.92
MyStore,1,3,2,1,13,Card,28,$423.50
MyStore,1,3,2,1,14,Cash,34,-$95.39
MyStore,1,3,2,1,14,Card,5,-$16.90
MyStore,1,3,2,1,14,Card,19,$452.10
MyStore,1,3,2,1,15,Cash,5,-$110.40
MyStore,1,3,2,1,15,Card,11,-$309.90
MyStore,1,3,2,1,15,Card,43,$593.50
MyStore,1,3,2,1,16,Cash,26,-$377.12
MyStore,1,3,2,1,16,Card,18,$77.50
MyStore,1,3,2,1,17,Cash,2,-$19.50
MyStore,1,3,2,1,17,Card,2,-$31.00
MyStore,1,3,2,1,17,Card,3,$58.00
MyStore,1,4,3,1,8,Card,2,$5.00
MyStore,1,4,3,1,9,Cash,2,-$51.00
MyStore,1,4,3,1,9,Card,5,-$21.30
MyStore,1,4,3,1,9,Card,6,$299.00
MyStore,1,4,3,1,10,Cash,15,-$36.40
MyStore,1,4,3,1,10,Card,2,-$3.40
MyStore,1,4,3,1,10,Card,6,$17.50
MyStore,1,4,3,1,11,Card,33,-$112.80
MyStore,1,4,3,1,11,Card,13,$238.00
MyStore,1,4,3,1,12,Card,29,$852.50
MyStore,1,4,3,1,13,Cash,14,-$551.11
MyStore,1,4,3,1,13,Card,44,-$8.44
MyStore,1,4,3,1,13,Card,16,$151.60
MyStore,1,4,3,1,14,Cash,6,-$15.00
MyStore,1,4,3,1,14,Card,12,$454.50
MyStore,1,4,3,1,15,Cash,12,-$58.41
MyStore,1,4,3,1,15,Card,9,$32.60
MyStore,1,4,3,1,16,Cash,10,-$48.90
MyStore,1,4,3,1,16,Card,12,$417.50
MyStore,1,4,3,1,17,Card,1,-$23.00
MyStore,1,4,3,1,17,Card,4,$328.00
MyStore,1,5,4,1,8,Card,3,$44.20
MyStore,1,5,4,1,9,Card,7,$103.05
MyStore,1,5,4,1,10,Card,6,$4.50
MyStore,1,5,4,1,11,Cash,1,-$2.00
MyStore,1,5,4,1,11,Card,6,$21.25
